2024-10-15 11:53:17.2348||INFO|CanellaMovilBackend.Utils.LogsAPI|-- |url: |action: 
2024-10-15 11:53:17.3085||INFO|CanellaMovilBackend.Utils.LogsAPI|Usuario: 97954486-2367-426a-9107-71676f0c2084, Role: administrador, Action: CreateDeposit, Controller: DepositsService, Argumentos: Key=ODPSList,Value=[{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002567","CrdBankAct":"","Ref2":"9164387","LocTotal":"1600","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002570","CrdBankAct":"","Ref2":"2099368709","LocTotal":"31655","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002570","CrdBankAct":"","Ref2":"2143141405","LocTotal":"78900","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002570","CrdBankAct":"","Ref2":"27411719","LocTotal":"1254.13","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002565","CrdBankAct":"","Ref2":"3192291","LocTotal":"7396.84","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002565","CrdBankAct":"","Ref2":"5653103","LocTotal":"13726.82","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]}] |url: |action: 
2024-10-15 11:53:17.3121||INFO|CanellaMovilBackend.Utils.LogsAPI|Acceso concedido |url: |action: 
2024-10-15 11:53:23.3934||INFO|CanellaMovilBackend.Utils.LogsAPI|-- Resultado |url: |action: 
2024-10-15 11:53:23.3934||INFO|CanellaMovilBackend.Utils.LogsAPI|Usuario: 97954486-2367-426a-9107-71676f0c2084, Role: administrador, Action: CreateDeposit, Controller: DepositsService,StatusCode: 200,  |url: |action: 
2024-10-15 11:53:23.3934||INFO|CanellaMovilBackend.Utils.LogsAPI|--------------- |url: |action: 
2024-10-15 12:02:13.1684||INFO|CanellaMovilBackend.Utils.LogsAPI|-- |url: |action: 
2024-10-15 12:02:13.1684||INFO|CanellaMovilBackend.Utils.LogsAPI|Usuario: 97954486-2367-426a-9107-71676f0c2084, Role: administrador, Action: CreateDeposit, Controller: DepositsService, Argumentos: Key=ODPSList,Value=[{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002567","CrdBankAct":"","Ref2":"9164387","LocTotal":"1600","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002570","CrdBankAct":"","Ref2":"2099368709","LocTotal":"31655","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002570","CrdBankAct":"","Ref2":"2143141405","LocTotal":"78900","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002570","CrdBankAct":"","Ref2":"27411719","LocTotal":"1254.13","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002565","CrdBankAct":"","Ref2":"3192291","LocTotal":"7396.84","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]},{"DeposCurr":"GTQ","DocRate":"0","DeposDate":"2024-10-03","DeposAcct":"","BanckAcct":"_SYS00000002565","CrdBankAct":"","Ref2":"5653103","LocTotal":"13726.82","DepositType":"cash","DpostorNam":"","Memo":"AUTOMOTRIZ RIO HOND 2024-10-03 geflores","AllocAcct":"_SYS00000002416","CommissionAccount":"","Commision":"","TaxAccount":"","TaxAmount":"","CommissionDate":"","AbsId":[]}] |url: |action: 
2024-10-15 12:02:13.1684||INFO|CanellaMovilBackend.Utils.LogsAPI|Acceso concedido |url: |action: 
2024-10-15 12:02:16.6030||INFO|CanellaMovilBackend.Utils.LogsAPI|-- Resultado |url: |action: 
2024-10-15 12:02:16.6030||INFO|CanellaMovilBackend.Utils.LogsAPI|Usuario: 97954486-2367-426a-9107-71676f0c2084, Role: administrador, Action: CreateDeposit, Controller: DepositsService,StatusCode: 200,  |url: |action: 
